episode,reward,steps,score,epsilon
0,-5592.35,8000,50,0.01
1,-904.68,2026,9,0.01
2,-2321.1,8000,54,0.01
3,-13.02,23,0,0.01
4,-10.86,41,0,0.01
5,-12.24,27,0,0.01
6,-392.51,1303,9,0.01
7,-338.09,938,7,0.01
8,-3426.3,8000,40,0.01
9,-2680.26,6242,39,0.01
10,-2514.4,8000,57,0.01
11,-2936.38,7145,52,0.01
12,-73.0,450,2,0.01
13,-2090.94,7578,46,0.01
14,-637.09,1777,13,0.01
15,-2833.16,7721,47,0.01
16,-3383.99,7488,35,0.01
17,-1066.75,3099,28,0.01
18,-266.37,704,8,0.01
19,-101.64,189,0,0.01
20,-2865.9,8000,48,0.01
21,-1861.0,6109,43,0.01
22,-945.83,2466,25,0.01
23,-11.18,105,0,0.01
24,-11.6,29,0,0.01
25,-2386.45,8000,53,0.01
26,-450.01,1552,13,0.01
27,-1328.13,2295,12,0.01
28,-2882.91,7222,47,0.01
29,0.67,315,3,0.01
